trade_id,closed_at,account,symbol,asset_class,quantity,close_price,realized_gain,strategy,strikes,expiry,source,broker,thesis,vix_at_entry
2025-12-31T21:00:00Z_VIXI_40_1.24,2025-12-31T21:00:00Z,2005,VIXI,stock,40,12.101,1.24,,,,connector,robinhood,,
2026-01-08T20:55:00Z_SPXW_8_400,2026-01-08T20:55:00Z,2005,SPXW,option,8,-30,400,,,,connector,robinhood,,
2026-01-09T21:00:00Z_UVIX_10_-862.2,2026-01-09T21:00:00Z,2005,UVIX,option,10,-24.62,-862.2,,,,connector,robinhood,,
2026-01-09T21:00:00Z_NU_4_-192,2026-01-09T21:00:00Z,2005,NU,option,4,0,-192,,,,connector,robinhood,,
2026-01-22T15:35:05Z_SPXW_1_50,2026-01-22T15:35:05Z,2005,SPXW,option,1,-30,50,,,,connector,robinhood,,
2026-01-22T15:37:03Z_SPXW_8_360,2026-01-22T15:37:03Z,2005,SPXW,option,8,-35,360,,,,connector,robinhood,,
2026-01-27T15:30:40Z_SPXW_5_300,2026-01-27T15:30:40Z,2005,SPXW,option,5,-25,300,,,,connector,robinhood,,
2026-02-02T18:15:48Z_SPXW_5_275,2026-02-02T18:15:48Z,2005,SPXW,option,5,-25,275,,,,connector,robinhood,,
2026-02-13T17:31:43Z_SPXW_5_325,2026-02-13T17:31:43Z,2005,SPXW,option,5,-10,325,,,,connector,robinhood,,
2026-02-27T21:00:00Z_SPXW_3_-5682,2026-02-27T21:00:00Z,2005,SPXW,option,3,0,-5682,,,,connector,robinhood,,
2026-02-27T21:00:00Z_SPXW_3_5907,2026-02-27T21:00:00Z,2005,SPXW,option,3,0,5907,,,,connector,robinhood,,
2026-03-06T14:55:24Z_SPXW_5_300,2026-03-06T14:55:24Z,2005,SPXW,option,5,-30,300,,,,connector,robinhood,,
2026-03-20T15:49:46Z_VIXM_3_325.44,2026-03-20T15:49:46Z,2005,VIXM,option,3,223.48,325.44,,,,connector,robinhood,,
2026-03-20T20:00:00Z_SPXW_5_-11060,2026-03-20T20:00:00Z,2005,SPXW,option,5,0,-11060,,,,connector,robinhood,,
2026-03-20T20:00:00Z_SPXW_5_11510,2026-03-20T20:00:00Z,2005,SPXW,option,5,0,11510,,,,connector,robinhood,,
2026-04-13T13:30:07Z_SPXW_7_350,2026-04-13T13:30:07Z,2005,SPXW,option,7,-30,350,,,,connector,robinhood,,
2026-04-17T14:25:35Z_SPXW_8_640,2026-04-17T14:25:35Z,2005,SPXW,option,8,-15,640,,,,connector,robinhood,,
2026-04-24T14:07:58Z_SPXW_5_425,2026-04-24T14:07:58Z,2005,SPXW,option,5,-5,425,,,,connector,robinhood,,
2026-05-01T13:59:59Z_SPXW_5_350,2026-05-01T13:59:59Z,2005,SPXW,option,5,-15,350,,,,connector,robinhood,,
2026-05-14T13:40:12Z_POET_50_675.07,2026-05-14T13:40:12Z,2005,POET,stock,50,19.6158,675.07,,,,connector,robinhood,,
2026-05-15T20:00:00Z_SPX_5_-7635,2026-05-15T20:00:00Z,2005,SPX,option,5,0,-7635,,,,connector,robinhood,,
2026-05-15T20:00:00Z_SPX_5_8035,2026-05-15T20:00:00Z,2005,SPX,option,5,0,8035,,,,connector,robinhood,,
2026-05-22T19:51:26Z_SPXW_5_400,2026-05-22T19:51:26Z,2005,SPXW,option,5,-20,400,,,,connector,robinhood,,
2026-05-22T20:00:00Z_SPXW_5_-7935,2026-05-22T20:00:00Z,2005,SPXW,option,5,0,-7935,,,,connector,robinhood,,
2026-05-22T20:00:00Z_SPXW_5_8635,2026-05-22T20:00:00Z,2005,SPXW,option,5,0,8635,,,,connector,robinhood,,
2026-05-29T20:00:00Z_TE_1_5,2026-05-29T20:00:00Z,2005,TE,option,1,0,5,,,,connector,robinhood,,
2026-06-05T14:30:51Z_MSFT_1_1605,2026-06-05T14:30:51Z,2005,MSFT,option,1,8410,1605,,,,connector,robinhood,,
2026-06-05T20:00:00Z_SPXW_5_-7965,2026-06-05T20:00:00Z,2005,SPXW,option,5,0,-7965,,,,connector,robinhood,,
2026-06-05T20:00:00Z_SPXW_5_8765,2026-06-05T20:00:00Z,2005,SPXW,option,5,0,8765,,,,connector,robinhood,,
2026-06-12T20:00:00Z_SPXW_3_-3795,2026-06-12T20:00:00Z,2005,SPXW,option,3,0,-3795,,,,connector,robinhood,,
2026-06-12T20:00:00Z_SPXW_3_4170,2026-06-12T20:00:00Z,2005,SPXW,option,3,0,4170,,,,connector,robinhood,,
2026-06-15T14:19:00Z_SPXW_1_53.2,2026-06-15T14:19:00Z,2005,SPXW,option,1,1581,53.2,,,,connector,robinhood,,
2026-06-15T18:14:12Z_UNKNOWN_5404_-4971.68,2026-06-15T18:14:12Z,2005,UNKNOWN,unclassified,5404,0,-4971.68,,,,connector,robinhood,,
2026-06-16T17:47:15Z_SPXW_1_-87.2,2026-06-16T17:47:15Z,2005,SPXW,option,1,-250,-87.2,,,,connector,robinhood,,
2026-06-26T20:00:00Z_SPXW_3_-4877.4,2026-06-26T20:00:00Z,2005,SPXW,option,3,0,-4877.4,,,,connector,robinhood,,
2026-06-26T20:00:00Z_SPXW_3_5171.4,2026-06-26T20:00:00Z,2005,SPXW,option,3,0,5171.4,,,,connector,robinhood,,
2026-07-01T14:53:20Z_SPXW_3_405,2026-07-01T14:53:20Z,2005,SPXW,option,3,-10,405,,,,connector,robinhood,,
2026-07-07T13:53:46Z_SPXW_3_210,2026-07-07T13:53:46Z,2005,SPXW,option,3,-15,210,,,,connector,robinhood,,
2026-07-08T11:44:11Z_RPD_170_385.83,2026-07-08T11:44:11Z,2005,RPD,stock,170,10.97,385.83,,,,connector,robinhood,,
2026-07-10T18:55:54Z_SPXW_1_405,2026-07-10T18:55:54Z,2005,SPXW,option,1,-50,405,,,,connector,robinhood,,
2026-07-13T13:30:10Z_XOVR_1_-85,2026-07-13T13:30:10Z,2005,XOVR,option,1,265,-85,,,,connector,robinhood,,
2026-07-15T13:30:06Z_SPX_1_190,2026-07-15T13:30:06Z,2005,SPX,option,1,-20,190,,,,connector,robinhood,,
2026-07-15T15:28:12Z_SPX_1_190,2026-07-15T15:28:12Z,2005,SPX,option,1,-20,190,,,,connector,robinhood,,
2026-07-15T15:45:54Z_SPX_1_190,2026-07-15T15:45:54Z,2005,SPX,option,1,-20,190,,,,connector,robinhood,,
2026-07-15T16:19:08Z_RPD_200_835.92,2026-07-15T16:19:08Z,2005,RPD,stock,200,12.88,835.92,,,,connector,robinhood,,
2026-07-15T16:20:40Z_RPD_130_541.4,2026-07-15T16:20:40Z,2005,RPD,stock,130,12.865,541.4,,,,connector,robinhood,,
